statistics  130  statistical  reasoning,01 ,lecture,monday  wednesday,10:10  am,12:00  pm,baker  center  for  science  room  0102,180-0102,0,stat130,course_num
statistics  218  applied  statistics  for  the  life  sciences,01 ,lecture,monday  tuesday  wednesday  thursday,02:10  pm,03:00  pm,pilling  building  room  0251,014-0251,35,stat218,stat427
statistics  218  applied  statistics  for  the  life  sciences,02 ,lecture,monday  tuesday  wednesday  thursday,03:10  pm,04:00  pm,pilling  building  room  0251,014-0251,36,stat218,stat427
statistics  513  applied  experimental  design  and  regression  models,01 ,lecture,monday  wednesday,12:10  pm,01:00  pm,kennedy  library  room  0111b,035-0111b,37,stat513,stat427
statistics  218  applied  statistics  for  the  life  sciences,01 ,lecture,monday  tuesday  wednesday  thursday,02:10  pm,03:00  pm,pilling  building  room  0251,014-0251,38,stat218,stat427
statistics  218  applied  statistics  for  the  life  sciences,02 ,lecture,monday  tuesday  wednesday  thursday,03:10  pm,04:00  pm,pilling  building  room  0251,014-0251,39,stat218,stat427
statistics  405  applied  probability  models,01 ,lecture,monday  wednesday,10:10  am,12:00  pm,pilling  building  room  0251,014-0251,40,stat405,stat427
statistics  218  applied  statistics  for  the  life  sciences,08 ,lecture,monday  tuesday  wednesday  thursday,09:10  am,10:00  am,pilling  building  room  0251,014-0251,41,stat218,stat427
statistics  218  applied  statistics  for  the  life  sciences,07 ,lecture,monday  tuesday  wednesday  thursday,08:10  am,09:00  am,pilling  building  room  0251,014-0251,42,stat218,stat427
statistics  218  applied  statistics  for  the  life  sciences,08 ,lecture,monday  tuesday  wednesday  thursday,09:10  am,10:00  am,pilling  building  room  0251,014-0251,43,stat218,stat427
statistics  423  design  and  analysis  of  experiments  ii,01 ,lecture,monday  tuesday  wednesday  thursday,10:10  am,11:00  am,pilling  building  room  0252,014-0252,44,stat423,stat427
statistics  410  statistics  education:  pedagogy  content  technology  and  assessment,01 ,lecture,monday  wednesday,02:10  pm,04:00  pm,architecture  &amp;  environmental  design  room  0226,005-0226,45,stat410,stat427
statistics  217  introduction  to  statistical  concepts  and  methods,11 ,lecture,friday,10:10  am,11:00  am,mathematics  and  science  room  0204,038-0204,46,stat217,stat427
statistics  217  introduction  to  statistical  concepts  and  methods,09 ,lecture,tuesday  thursday,02:10  pm,04:00  pm,baker  center  for  science  room  0265,180-0265,47,stat217,stat427
statistics  217  introduction  to  statistical  concepts  and  methods,11 ,lecture,friday,10:10  am,11:00  am,mathematics  and  science  room  0204,038-0204,48,stat217,stat427
statistics  302  statistics  ii,01 ,lecture,monday  tuesday  wednesday  thursday,08:10  am,09:00  am,erhart  agriculture  room  0223,010-0223,49,stat302,stat427
statistics  334  applied  linear  models,01 ,lecture,monday  tuesday  wednesday  thursday,12:10  pm,01:00  pm,engineering  west  room  0238,021-0238,50,stat334,stat427
statistics  334  applied  linear  models,02 ,lecture,monday  tuesday  wednesday  thursday,01:10  pm,02:00  pm,engineering  west  room  0238,021-0238,51,stat334,stat427
stat-542-72-2194  has  one  ptype  overlap,72 ,lecture,monday  tuesday  wednesday  thursday,12:10  pm,01:00  pm,construction  innovations  center  room  c300,186-c300,52,stat542,stat427
stat-312-73-2194  has  one  ptype  overlap,73 ,lecture,monday  tuesday  wednesday  thursday,01:10  pm,02:00  pm,construction  innovations  center  room  c300,186-c300,53,stat312,stat427
stat-312-74-2194  has  one  ptype  overlap,74 ,lecture,monday  tuesday  wednesday  thursday,02:10  pm,03:00  pm,construction  innovations  center  room  c300,186-c300,54,stat312,stat427
stat-312-72-2194  has  one  ptype  overlap,72 ,lecture,monday  tuesday  wednesday  thursday,12:10  pm,01:00  pm,construction  innovations  center  room  c300,186-c300,55,stat312,stat427
stat-312-73-2194  has  one  ptype  overlap,73 ,lecture,monday  tuesday  wednesday  thursday,01:10  pm,02:00  pm,construction  innovations  center  room  c300,186-c300,56,stat312,stat427
stat-312-74-2194  has  one  ptype  overlap,74 ,lecture,monday  tuesday  wednesday  thursday,02:10  pm,03:00  pm,construction  innovations  center  room  c300,186-c300,57,stat312,stat427
statistics  252  statistical  inference  for  management  ii,01 ,lecture,monday  tuesday  wednesday  thursday,07:10  am,08:00  am,pilling  building  room  0252,014-0252,58,stat252,stat427
statistics  252  statistical  inference  for  management  ii,02 ,lecture,monday  tuesday  wednesday  thursday,08:10  am,09:00  am,pilling  building  room  0252,014-0252,59,stat252,stat427
statistics  252  statistical  inference  for  management  ii,02 ,lecture,friday,08:10  am,09:00  am,mathematics  and  science  room  0123,038-0123,60,stat252,stat427
statistics  252  statistical  inference  for  management  ii,03 ,lecture,monday  tuesday  wednesday  thursday,09:10  am,10:00  am,pilling  building  room  0252,014-0252,61,stat252,stat427
statistics  252  statistical  inference  for  management  ii,03 ,lecture,friday,09:10  am,10:00  am,mathematics  and  science  room  0123,038-0123,62,stat252,stat427
statistics  252  statistical  inference  for  management  ii,01 ,lecture,friday,07:10  am,08:00  am,mathematics  and  science  room  0123,038-0123,63,stat252,stat427
statistics  252  statistical  inference  for  management  ii,02 ,lecture,monday  tuesday  wednesday  thursday,08:10  am,09:00  am,pilling  building  room  0252,014-0252,64,stat252,stat427
statistics  252  statistical  inference  for  management  ii,02 ,lecture,friday,08:10  am,09:00  am,mathematics  and  science  room  0123,038-0123,65,stat252,stat427
statistics  252  statistical  inference  for  management  ii,03 ,lecture,monday  tuesday  wednesday  thursday,09:10  am,10:00  am,pilling  building  room  0252,014-0252,66,stat252,stat427
statistics  252  statistical  inference  for  management  ii,03 ,lecture,friday,09:10  am,10:00  am,mathematics  and  science  room  0123,038-0123,67,stat252,stat427
statistics  462  senior  project  ii,23 ,independent  study,statistics  217  introduction  to  statistical  concepts  and  methods,02:10  pm,04:00  pm,pilling  building  room  0250,014-0250,68,stat462,stat427
statistics  217  introduction  to  statistical  concepts  and  methods,07 ,lecture,monday  wednesday,04:10  pm,06:00  pm,pilling  building  room  0250,014-0250,69,stat217,stat427
education  589  educational  research  methods,03 ,seminar,tuesday,05:10  pm,08:00  pm,cotchett  education  room  0126,002-0126,70,stat217,stat427
education  589  educational  research  methods,04 ,activity,tuesday,08:10  pm,10:00  pm,cotchett  education  room  0126,002-0126,71,stat589,stat427
statistics  217  introduction  to  statistical  concepts  and  methods,06 ,lecture,monday  wednesday,02:10  pm,04:00  pm,pilling  building  room  0250,014-0250,72,stat589,stat427
statistics  217  introduction  to  statistical  concepts  and  methods,07 ,lecture,monday  wednesday,04:10  pm,06:00  pm,pilling  building  room  0250,014-0250,73,stat217,stat427
education  589  educational  research  methods,03 ,seminar,tuesday,05:10  pm,08:00  pm,cotchett  education  room  0126,002-0126,74,stat217,stat427
education  589  educational  research  methods,04 ,activity,tuesday,08:10  pm,10:00  pm,cotchett  education  room  0126,002-0126,75,stat589,stat427
statistics  218  applied  statistics  for  the  life  sciences,03 ,lecture,monday  tuesday  wednesday  thursday,03:10  pm,04:00  pm,erhart  agriculture  room  0126,010-0126,76,stat589,stat427
statistics  218  applied  statistics  for  the  life  sciences,05 ,lecture,monday  tuesday  wednesday  thursday,05:10  pm,06:00  pm,erhart  agriculture  room  0126,010-0126,77,stat218,stat427
statistics  218  applied  statistics  for  the  life  sciences,04 ,lecture,monday  tuesday  wednesday  thursday,04:10  pm,05:00  pm,erhart  agriculture  room  0126,010-0126,78,stat218,stat427
statistics  218  applied  statistics  for  the  life  sciences,05 ,lecture,monday  tuesday  wednesday  thursday,05:10  pm,06:00  pm,erhart  agriculture  room  0126,010-0126,79,stat218,stat427
statistics  441  sas  advanced  certification  preparation,01 ,lecture,thursday,05:10  pm,07:00  pm,erhart  agriculture  room  0204,010-0204,80,stat218,stat427
statistics  251  statistical  inference  for  management  i,01 ,lecture,monday  tuesday  wednesday  thursday,08:10  am,09:00  am,pilling  building  room  0250,014-0250,81,stat441,stat427
statistics  251  statistical  inference  for  management  i,03 ,lecture,monday  tuesday  wednesday  thursday,10:10  am,11:00  am,pilling  building  room  0250,014-0250,82,stat251,stat427
statistics  251  statistical  inference  for  management  i,02 ,lecture,monday  tuesday  wednesday  thursday,09:10  am,10:00  am,pilling  building  room  0250,014-0250,83,stat251,stat427
statistics  251  statistical  inference  for  management  i,03 ,lecture,monday  tuesday  wednesday  thursday,10:10  am,11:00  am,pilling  building  room  0250,014-0250,84,stat251,stat427
statistics  462  senior  project  ii,13 ,independent  study,"statistics  465  statistical  consulting"">stat  465</a>  <span  class=""instructorcount""  title=""stat-465-01-2194  has  two  instructors",12:10  pm,02:00  pm,mathematics  and  science  room  0123,038-0123,85,stat251,stat427
stat-465-02-2194  has  two  instructors,02 ,lecture,monday  wednesday,12:10  pm,02:00  pm,mathematics  and  science  room  0123,038-0123,86,stat462,stat427
stat-465-01-2194  has  two  instructors,01 ,lecture,tuesday  thursday,12:10  pm,02:00  pm,mathematics  and  science  room  0123,038-0123,87,stat465,stat427
stat-465-02-2194  has  two  instructors,02 ,lecture,monday  wednesday,12:10  pm,02:00  pm,mathematics  and  science  room  0123,038-0123,88,stat465,stat427
statistics  252  statistical  inference  for  management  ii,04 ,lecture,monday  tuesday  wednesday  thursday  friday,03:10  pm,04:00  pm,engineering  east  room  0139,020-0139,89,stat465,stat427
statistics  252  statistical  inference  for  management  ii,06 ,lecture,monday  tuesday  wednesday  thursday  friday,05:10  pm,06:00  pm,engineering  east  room  0139,020-0139,90,stat465,stat427
statistics  252  statistical  inference  for  management  ii,05 ,lecture,monday  tuesday  wednesday  thursday  friday,04:10  pm,05:00  pm,engineering  east  room  0139,020-0139,91,stat252,stat427
statistics  252  statistical  inference  for  management  ii,06 ,lecture,monday  tuesday  wednesday  thursday  friday,05:10  pm,06:00  pm,engineering  east  room  0139,020-0139,92,stat252,stat427
statistics  251  statistical  inference  for  management  i,04 ,lecture,monday  tuesday  wednesday  thursday,05:10  pm,06:00  pm,construction  innovations  center  room  c203,186-c203,93,stat252,stat427
stat-312-76-2194  has  one  ptype  overlap,76 ,lecture,monday  tuesday  wednesday  thursday,04:10  pm,05:00  pm,pilling  building  room  0253,014-0253,94,stat252,stat427
stat-312-75-2194  has  one  ptype  overlap,75 ,lecture,monday  tuesday  wednesday  thursday,03:10  pm,04:00  pm,pilling  building  room  0253,014-0253,95,stat251,stat427
stat-312-76-2194  has  one  ptype  overlap,76 ,lecture,monday  tuesday  wednesday  thursday,04:10  pm,05:00  pm,pilling  building  room  0253,014-0253,96,stat312,stat427
