stat305, introduction to probability and simulation,4,None, f w, one of the following: bus 392 csc 101 csc 232 csc 235 econ 395 stat 331 math 142.,Basic probability rules counting methods conditional probability.  Discrete and continuous random variables expected values variance and covariance.  Properties of linear combinations of random variables with applications to statistical estimators.  Simulation analysis of random phenomena using a modern computer language.  Not open to students with credit in 'STAT 321'.  4 lectures.
stat312, statistical methods for engineers,4,ge area b6, fwspsu, math 142.,Descriptive and graphical methods.  Discrete and continuous probability distributions.  One and two sample confidence intervals and hypothesis testing.  Single factor analysis of variance.  Quality control.  Introduction to regression and to experimental design.  Substantial use of statistical software.  4 lectures.  Fulfills GE B6.
stat313, applied experimental design and regression models,4,ge area b1, f w sp, stat 217 stat 218 stat 312 stat 542 math 118 or appropriate math placement level.,Analysis of variance and regression analysis for students not majoring in statistics or mathematics.  Includes one-way classification randomized blocks Latin squares factorial designs multiple regression diagnostics and model comparison.  4 lectures.  Fulfills GE Area B1; for students admitted Fall 2016 or later a grade of C- or better in one GE Area B1 course is required to fulfill GE Area B.
stat314, statistical methods for food science,4,None, f w, stat 218.,Statistical methods for sensory analysis and food product development.  Discrimination testing:  paired duo-trio triangle.  Two-way ANOVA 2^k fractional factorial response surface mixture designs.  Quality and process control.  Not open to students with credit in 'STAT 323'.  4 lectures.
stat321, probability and statistics for engineers and scientists,4,ge area b6, f w sp, math 142.,Tabular and graphical methods for data summary numerical summary measures probability concepts and properties discrete and continuous probability distributions expected values statistics and their sampling distributions point estimation confidence intervals for a mean and proportion.  Use of statistical software.  4 lectures.  Fulfills GE B6.
stat323, design and analysis of experiments i,4,None, w sp, ime 326 stat 252 stat 302 stat 312 stat 313.,Principles construction and analysis of experimental designs.  Completely randomized randomized complete block Latin squares Graeco Latin squares factorial and nested designs.  Fixed and random effects expected mean squares multiple comparisons and analysis of covariance.  4 lectures.
stat324, applied regression analysis,4,None, f w, ime 326 stat 252 stat 302 stat 312 stat 313.,Linear regression including indicator variables influence diagnostics assumption analysis selection of 'best subset' nonstandard regression models logistic regression nonlinear regression models.  Not open to students with credit in 'STAT 334'.  4 lectures.
stat330, statistical computing with sas,4,None, f w, ime 326 stat 252 stat 302 stat 312 stat 313.,Data acquisition cleaning and management using SAS; reading data into SAS from various sources recoding variables subsetting and merging data exporting results in other formats.  Graphical procedures basic descriptive and inferential statistics.  Introduction to SAS macros.  4 lectures.
stat331, statistical computing with r,4,None, f w sp, one of the following: ime 326 stat 252 stat 302 stat 312 stat 313 bus 392 csc 101 csc 235 econ 395 stat 330.,Data acquisition cleaning and management in R; use of regular expressions; functional and object-oriented programming; graphical descriptive and inferential statistical methods; random number generation; Monte Carlo methods including resampling randomization and simulation.  4 lectures.
stat334, applied linear models,4,None, sp, one of the following: stat 252 stat 302 stat 312 stat 313 ime 326 math 206 math 244.,Linear models in algebraic and matrix form diagnostics transformations polynomial models categorical predictors model selection correlated errors logistic regression.  Not open to students with credit in 'STAT 324'.  4 lectures.
stat350, probability and random processes for engineers,4,ge area b6, f w sp, math 241 ee 228.,Random events random variables and random processes with emphasis on probabilistic treatment of signals and noise.  Specific topics include:  sample spaces probability distributions independence moments covariance time/ensemble averages stationarity common processes correlation and spectral functions.  4 lectures.  Fulfills GE B6.
stat365, statistical communication,2,None, sp, completion of ge areas a1 and a3 with grades of c- or better; and one of the following: stat 252 stat 302 stat 313.,Written communication of statistical ideas and content.  Analyze data using appropriate methods from previous statistics courses.  Writing technical reports with appropriate graphs and tables.  Strategies to discern relevant and necessary information to communicate data ideas and results to different audiences.  2 lectures.
stat400, special problems for advanced undergraduates,1-2,None, f w sp, consent of department head.,Individual investigation research studies or surveys of selected problems.  Total credit limited to 4 units with a maximum of 2 units per quarter.
stat405, applied probability models,4,None, sp, cpe/csc 101 csc 232 csc 235 math 206 math 244 stat 305 stat 350 stat 426.,Advanced probability models their simulation and application.  Poisson processes Markov chains random walks and continuous-time Markov processes.  Monte Carlo integration and simulation methods including Markov chain Monte Carlo and Gibbs sampling.  4 lectures.
stat410, statistics education: pedagogy content technology and assessment,4,None, sp, one of the following: stat 130 stat 217 stat 218 stat 251 stat 301 stat 312 stat 321 stat 511 stat 512 stat 542.,Topics related to content pedagogy technology and assessment for teaching statistics in grades 6-16 in accordance with current standards and research for teaching statistics including the Common Core State Standards for Mathematics.  4 lectures.
stat414, multilevel and mixed modeling,4,None, f, stat 324 stat 334 stat 524.,Overview of multilevel and mixed models including hierarchical data intraclass correlation fixed vs.  random coefficients variance components comparisons to traditional analyses.  Use of statistical software for implementation of methods.  4 lectures.
stat415, bayesian reasoning and methods,4,None, w, one of the following: ime 326 stat 252 stat 302 stat 312 stat 313 stat 513 stat 305 stat 350 stat 425 stat 331.,Bayes' theorem prior and posterior distributions likelihood functions Markov Chain Monte Carlo methods hierarchical modeling.  Bayesian data analysis comparison of Bayesian and classical (frequentist) approaches.  4 lectures.
stat416, statistical analysis of time series,4,None, f, stat 324 stat 334 stat 524.,Time series components descriptive smoothing methods regression models for time series data forecasting via exponential smoothing evaluation of forecasts autocorrelation ARIMA models and Box-Jenkins methods combining forecasts frequency domain analysis filtering.  4 lectures.
stat417, survival analysis methods,4,None, w, ime 326 stat 252 stat 302 stat 312 stat 313 math 142.,Parametric and nonparametric methods for analyzing survival data.  Topics include Kaplan-Meier and Nelson-Aalen estimates Cox regression models accelerated failure time models.  Use of statistical software to implement methods throughout course.  4 lectures.
stat418, categorical data analysis,4,None, w, stat 324 stat 334 stat 524.,Discrete multivariate statistics including analysis of cross-classified data log-linear models for multidimensional contingency tables goodness of fit statistics measures of association model selection and hypothesis testing.  4 lectures.
stat419, applied multivariate statistics,4,None, sp, one of the following: ime 326 stat 252 stat 302 stat 312 stat 313 stat 513 stat 542 math 206 math 244 or graduate standing.,Continuous multivariate statistics.  Multivariate linear model principal components and factor analysis discriminant analysis clustering classification and canonical correlation.  Use of statistical software throughout the course.  4 lectures.
stat421, survey sampling and methodology,4,None, f, ime 326 stat 252 stat 302 stat 312 stat 313 stat 511 stat 512 stat 513.,Survey planning execution and analysis.  Principles of survey research including non-sampling and sampling error topics.  Survey sample designs including simple random systematic stratified cluster and multi-stage.  Estimation procedures and sample size calculations.  4 lectures.
stat423, design and analysis of experiments ii,4,None, sp, stat 323 stat 523.,Continuation of 'STAT 323'.  2k factorial designs 3k factorial designs balanced and partially balanced incomplete block designs nested designs split-plot designs response surface methodology confounding repeated measures and other design approaches.  4 lectures.
stat425, probability theory,4,None, f, math 241 math 248 csc 348 stat 305 stat 301.,Rigorous development of probability theory.  Probability axioms combinatorial methods conditional and marginal probability independence random variables univariate and multivariate probability distributions conditional distributions transformations order statistics expectation and variance.  Use of statistical simulation throughout the course.  4 lectures.
stat426, estimation and sampling theory,4,None, w, stat 425 stat 302.,Continuation of 'STAT 425'.  Properties of statistics obtained from samples.  Sample mean properties convergence in probability law of large numbers and central limit theorem.  Selected probability distributions.  Theory of estimation.  Sampling distribution of estimators.  4 lectures.
stat427, mathematical statistics,4,None, sp, stat 426.,Continuation of 'STAT 426'.  The theory of hypothesis testing and its applications.  Power and uniformly most powerful tests.  Categorical data and nonparametric methods.  Other selected topics.  4 lectures.
stat431, advanced statistical computing with r,4,None, tbd, stat 331.,Advanced techniques for efficient use of computers to perform statistical computations and to analyze large amounts of data.  Includes version control systems; tools supporting reproducibility; functional programming; randomization and bootstrapping; dynamic data visualizations; and R package development.  4 lectures.
stat434, statistical learning: methods and applications,4,None, sp, one of the following: stat 324 stat 334 stat 524 stat 331 stat 531.,Modern methods in predictive modeling and classification.  Splines smoothing splines ridge regression LASSO regression and classification trees generalized additive models logistic regression and linear discriminant analysis.  Model assessment and selection using cross validation bootstrapping AIC and BIC.  4 lectures.
stat440, sas certification preparation,2,None, w, stat 330.,Programming data management and data analysis in preparation for the Certified Base Programmer Exam offered by the SAS Institute.  Topics include accessing data creating data structures managing data generating reports and handling errors.  2 lectures.
stat441, sas advanced certification preparation,2,None, sp, stat 440.,Programming topics in preparation for the Certified Advanced Programmer Exam offered by the SAS Institute.  Accessing data using PROC SQL macro processing applications for indexes data look-up techniques including array processing hash objects and combining/merging.  2 lectures.
stat461, senior project i,,None, f w sp,None,Selection and completion of a project under faculty supervision. Projects typical of problems which graduates must solve in their fields of employment. Project results are presented in a formal report. Minimum 90 hours total time.
stat462, senior project ii,2,None, f w sp, completion of gwr.,Selection and completion of a project under faculty supervision.  Projects typical of problems which graduates must solve in their fields of employment.  Project results are presented in a formal report.  Minimum 90 hours total time.
stat465, statistical consulting,4,None, f sp, stat 323 stat 330 stat 331 stat 334 stat 365; statistics major; and senior standing.,Blending of the theoretical and practical aspects of statistical consulting.  Development of tools necessary to conduct effective consulting sessions present oral arguments and written reports work collaboratively to solve problems and utilize professional publications in statistics.  4 lectures.
stat470, selected advanced topics,1-4,None, tbd, consent of instructor.,Directed group study of selected topics for advanced students.  Open to undergraduate and graduate students.  The Class Schedule will list topic selected.  Total credit limited to 8 units.  1 to 4 lectures.
stat485, cooperative education experience,6,cr/nc, f w sp, sophomore standing and consent of instructor.,Part-time work experience in business industry government and other areas of student career interest.  Positions are paid and usually require relocation and registration in course for two consecutive quarters.  Formal report and evaluation by work supervisor required.  Major credit limited to 6 units; total credit limited to 12 units.  Credit/No Credit grading only.
stat495, cooperative education experience,12,cr/nc, f w sp, sophomore standing and consent of instructor.,Full-time work experience in business industry government and other areas of student career interest.  Positions are paid and usually require relocation and registration in course for two consecutive quarters.  Formal report and evaluation by work supervisor required.  Major credit limited to 12 units; total credit limited to 24 units.  Credit/No Credit grading only.
stat511, statistical methods,4,None, f, graduate standing and intermediate algebra or equivalent.,Statistical methods in research for graduate students not majoring in mathematical sciences.  Probability distributions confidence intervals hypothesis testing contingency tables linear regression and correlation multiple regression analysis of variance.  Substantial use of statistical software.  4 lectures.
stat513, applied experimental design and regression models,4,None, f w sp, graduate standing and one of the following: stat 217 stat 218 stat 252 stat 312 stat 511 stat 512 stat 542.,Applications of statistics for graduate students not majoring in mathematics.  Analysis of variance including the one-way classification randomized blocks Latin squares and factorial designs.  Introduction to multiple regression and to analysis of covariance.  Substantial use of statistical software.  4 lectures.  Not open to students with credit in 'STAT 313'.
stat523, design and analysis of experiments i,4,None, w sp, one of the following: ime 326 stat 252 stat 302 stat 312 stat 313 stat 513 stat 542; and graduate standing.,Principles construction and analysis of experimental designs.  Completely randomized randomized complete block Latin squares Graeco-Latin squares factorial and nested designs.  Fixed and random effects expected mean squares multiple comparisons and analysis of covariance.  Not open to students with credit in 'STAT 323'.  4 lectures.
stat524, applied regression analysis,4,None, f w sp, one of the following: ime 326 stat 252 stat 302 stat 312 stat 313 stat 513 stat 542; and graduate standing.,Linear regression including indicator variables influence diagnostics assumption analysis selection of 'best subset' nonstandard regression models logistic regression nonlinear regression models.  Not open to students with credit in 'STAT 324' 'STAT 334'.  4 lectures.
stat530, statistical computing with sas,4,None, f w, stat 511 stat 512 stat 513 stat 542.,Techniques available to the statistician for efficient use of computers to perform statistical computations and to analyze large amounts of data.  Use of the SAS software system.  Includes data preparation report writing basic statistical methods and a research project.  Not open to students with credit in 'STAT 330'.  4 lectures.
stat531, statistical computing with r,4,None, f w sp, graduate standing stat 513 stat 542 and one computer programming course; or consent of instructor.,Obtain manage and clean data; use of regular expressions; functional and object-oriented programming; graphical descriptive and inferential statistical methods; random number generation; Monte Carlo methods including resampling randomization and simulation.  Not open to students with credit in 'STAT 331'.  4 lectures.
stat542, statistical methods for engineers,4,None, fwspsu, math 142 and graduate standing.,Descriptive and graphical methods.  Discrete and continuous probability distributions.  One and two sample confidence intervals and hypothesis testing.  Single factor analysis of variance.  Quality control.  Introduction to regression and to experimental design.  Substantial use of statistical software.  Not open to students with credit in 'STAT 312'.  4 lectures.
stat570, selected advanced topics,1-4,None, tbd, graduate standing or consent of instructor.,Directed group study of selected topics for graduate students.  Open to undergraduate and graduate students.  The Class Schedule will list topic selected.  Total credit limited to 8 units.  1 to 4 lectures.
